baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
,,,,,,"{'distance': 0.0535714285714286, 'evidence_accuracy': 0.6834415584415584, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.059782608695652176, 'evidence_f1': 0.10138248847926268, 'similarity_metrics': np.float32(0.98365545), 'contradiction': 0.143524631857872}"
"{'distance': 0.8874458874458875, 'evidence_accuracy': 0.39790575916230364, 'evidence_precision': 0.3539325842696629, 'evidence_recall': 1.0, 'evidence_f1': 0.5228215767634855, 'similarity_metrics': np.float32(0.822163), 'contradiction': 0.6186546683311462}",,"{'distance': 0.8620689655172413, 'evidence_accuracy': 0.41361256544502617, 'evidence_precision': 0.36, 'evidence_recall': 1.0, 'evidence_f1': 0.5294117647058824, 'similarity_metrics': np.float32(0.8217439), 'contradiction': 0.29551568627357483}",,,,
"{'distance': 0.8542094455852156, 'evidence_accuracy': 0.4278728606356968, 'evidence_precision': 0.3895582329317269, 'evidence_recall': 0.9603960396039604, 'evidence_f1': 0.5542857142857143, 'similarity_metrics': np.float32(0.8069616), 'contradiction': 0.6199893355369568}",,,,,,
,,,,,,
,"{'distance': 0.9790209790209791, 'evidence_accuracy': 0.35968379446640314, 'evidence_precision': 0.352, 'evidence_recall': 1.0, 'evidence_f1': 0.5207100591715976, 'similarity_metrics': np.float32(0.79442984), 'contradiction': 0.485803484916687}",,,"{'distance': 0.4988505747126437, 'evidence_accuracy': 0.6126482213438735, 'evidence_precision': 0.4652777777777778, 'evidence_recall': 0.7613636363636364, 'evidence_f1': 0.5775862068965517, 'similarity_metrics': np.float32(0.95698625), 'contradiction': 0.9971938133239746}","{'distance': 0.4675615212527964, 'evidence_accuracy': 0.6205533596837944, 'evidence_precision': 0.4701492537313433, 'evidence_recall': 0.7159090909090909, 'evidence_f1': 0.5675675675675675, 'similarity_metrics': np.float32(0.98641455), 'contradiction': 0.9977966547012329}",
,,,,,,
,,,,,,
"{'distance': 0.9372093023255814, 'evidence_accuracy': 0.353099730458221, 'evidence_precision': 0.33426573426573425, 'evidence_recall': 0.9835390946502057, 'evidence_f1': 0.498956158663883, 'similarity_metrics': np.float32(0.8707002), 'contradiction': 0.9717034697532654}","{'distance': 0.9529964747356052, 'evidence_accuracy': 0.3463611859838275, 'evidence_precision': 0.33240997229916897, 'evidence_recall': 0.9876543209876543, 'evidence_f1': 0.49740932642487046, 'similarity_metrics': np.float32(0.9057454), 'contradiction': 0.9497117400169373}","{'distance': 0.9380733944954128, 'evidence_accuracy': 0.35983827493261455, 'evidence_precision': 0.3384401114206128, 'evidence_recall': 1.0, 'evidence_f1': 0.5057232049947971, 'similarity_metrics': np.float32(0.89266455), 'contradiction': 0.8274202346801758}",,,,
"{'distance': 0.9445378151260504, 'evidence_accuracy': 0.22960151802656548, 'evidence_precision': 0.20763956904995104, 'evidence_recall': 0.986046511627907, 'evidence_f1': 0.34304207119741104, 'similarity_metrics': np.float32(0.87003165), 'contradiction': 0.022813700139522552}",,,,"{'distance': 0.9562043795620438, 'evidence_accuracy': 0.22011385199240988, 'evidence_precision': 0.2044790652385589, 'evidence_recall': 0.9767441860465116, 'evidence_f1': 0.33816425120772947, 'similarity_metrics': np.float32(0.8804915), 'contradiction': 0.9925292134284973}",,
"{'distance': 0.9126819126819127, 'evidence_accuracy': 0.4215456674473068, 'evidence_precision': 0.4077669902912621, 'evidence_recall': 0.9824561403508771, 'evidence_f1': 0.5763293310463121, 'similarity_metrics': np.float32(0.7548927), 'contradiction': 0.7903933525085449}",,"{'distance': 0.8825995807127882, 'evidence_accuracy': 0.42857142857142855, 'evidence_precision': 0.40852130325814534, 'evidence_recall': 0.9532163742690059, 'evidence_f1': 0.5719298245614035, 'similarity_metrics': np.float32(0.65971243), 'contradiction': 0.045275021344423294}","{'distance': 0.5286624203821656, 'evidence_accuracy': 0.5878220140515222, 'evidence_precision': 0.4910394265232975, 'evidence_recall': 0.8011695906432749, 'evidence_f1': 0.6088888888888889, 'similarity_metrics': np.float32(0.92249167), 'contradiction': 0.9976525902748108}","{'distance': 0.9190283400809717, 'evidence_accuracy': 0.41920374707259955, 'evidence_precision': 0.40540540540540543, 'evidence_recall': 0.9649122807017544, 'evidence_f1': 0.5709342560553634, 'similarity_metrics': np.float32(0.83546716), 'contradiction': 0.99930739402771}",,
