"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A woman is smoking a cigarette. [[A]] [[man]] in [[green]] [[pants]] and blue shirt [[pushing]] a [[cart]].","A woman is smoking a cigarette. [[paras]] [[dude]] in [[greens]] [[undies]] and blue shirt [[nudging]] a [[wheelbarrows]].",0.025054574012756348,0.15351879596710205,0,0,0,222,"Failed"
"There is a man wearing cloths. A man in green pants and blue [[shirt]] pushing a cart.","There is a man wearing cloths. A man in green pants and blue [[sweatpants]] pushing a cart.",0.055208444595336914,0.9623116254806519,1,0,1,50,"Successful"
"Newlyweds sitting on a park bench. A [[beautiful]] bride [[walking]] on a [[sidewalk]] with her new [[husband]].","Newlyweds sitting on a park bench. A [[great]] bride [[feet]] on a [[pavement]] with her new [[spouse]].",0.0007712244987487793,0.8877419233322144,0,1,0,120,"Successful"
"A couple walks outdoors together. A beautiful bride walking on a sidewalk with her new [[husband]].","A couple walks outdoors together. A beautiful bride walking on a sidewalk with her new [[husbands]].",0.1075131893157959,0.9224035739898682,1,0,1,47,"Successful"
"A young man is grilling fish in his underwear. [[A]] [[young]] [[man]], [[wearing]] a [[white]] [[shirt]], [[prepares]] [[hotdogs]] on a [[small]] [[grill]].","A young man is grilling fish in his underwear. [[para]] [[boyish]] [[masculine]], [[rico]] a [[caucasian]] [[sweatshirt]], [[formulate]] [[joes]] on a [[narrow]] [[roasting]].",0.001932382583618164,0.07997572422027588,0,0,0,253,"Failed"
"A young man is grilling food. A [[young]] man, wearing a white shirt, prepares [[hotdogs]] on a small [[grill]].","A young man is grilling food. A [[childish]] man, wearing a white shirt, prepares [[hotdog]] on a small [[mesh]].",0.06493383646011353,0.860901951789856,1,0,1,80,"Successful"
"A man playing banjo on the floor. [[A]] [[man]] [[playing]] an [[electric]] [[guitar]] on [[stage]].","A man playing banjo on the floor. [[para]] [[dawg]] [[plaything]] an [[electrified]] [[banjo]] on [[times]].",0.01788651943206787,0.09395503997802734,0,0,0,176,"Failed"
"A man playing guitar on stage. A man [[playing]] an electric guitar on stage.","A man playing guitar on stage. A man [[sets]] an electric guitar on stage.",0.09297090768814087,0.9921247959136963,1,0,1,52,"Successful"
"A giraffe is on a chair. a [[boy]] in a [[beige]] [[shirt]] is sleeping in a car.","A giraffe is on a chair. a [[dudes]] in a [[fuchsia]] [[undershirt]] is sleeping in a car.",0.10335290431976318,0.15117943286895752,0,0,0,159,"Failed"
"A person is in a vehicle. a boy in a beige shirt is sleeping in a [[car]].","A person is in a vehicle. a boy in a beige shirt is sleeping in a [[driving]].",0.002043604850769043,0.8994318842887878,1,0,1,54,"Successful"
"Policemen stand outside of their firetruck with all its lights on. [[Firemen]] stand outside of their firetruck with all its [[lights]] on.","Policemen stand outside of their firetruck with all its lights on. [[Firefighting]] stand outside of their firetruck with all its [[illuminated]] on.",0.005322515964508057,0.9285434484481812,0,1,0,94,"Successful"
"People stand outside of their firetruck with all its lights on. [[Firemen]] [[stand]] outside of their firetruck with all its lights on.","People stand outside of their firetruck with all its lights on. [[Firefighting]] [[kiosk]] outside of their firetruck with all its lights on.",0.09197986125946045,0.8688232898712158,1,0,1,60,"Successful"
"The traffic was not to bad today the guy made it home early and took a nap. [[A]] [[man]] laying down in [[middle]] of [[street]] during [[heavy]] traffic.","The traffic was not to bad today the guy made it home early and took a nap. [[para]] [[comrade]] laying down in [[intermediate]] of [[roadway]] during [[intensive]] traffic.",0.003732442855834961,0.04015713930130005,0,0,0,200,"Failed"
"A person has lost it by laying down in a busy street while there is bad traffic. A man laying down in middle of street during heavy [[traffic]].","A person has lost it by laying down in a busy street while there is bad traffic. A man laying down in middle of street during heavy [[chiao]].",0.09411609172821045,0.925716757774353,1,0,1,41,"Successful"
"The boy is at a boxing match. [[A]] [[girl]] [[playfully]] [[kicks]] a [[guy]] in the [[face]] while another [[person]] [[makes]] [[faces]].","The boy is at a boxing match. [[para]] [[lady]] [[sarcastically]] [[kick]] a [[dude]] in the [[address]] while another [[personality]] [[translates]] [[sides]].",0.010881960391998291,0.08672940731048584,0,0,0,302,"Failed"
"A girl is play fighting. A girl playfully kicks a guy in the face while another person [[makes]] faces.","A girl is play fighting. A girl playfully kicks a guy in the face while another person [[becomes]] faces.",0.06058633327484131,0.8585295677185059,0,1,0,63,"Successful"
"A brown dog is running down the road chasing the mailman. A brown [[dog]] [[plays]] in a deep pile of [[snow]].","A brown dog is running down the road chasing the mailman. A brown [[schnauzer]] [[fulfils]] in a deep pile of [[avalanche]].",0.06483912467956543,0.10604345798492432,0,0,0,162,"Failed"
"A brown dog plays in snow. A [[brown]] dog plays in a deep pile of snow.","A brown dog plays in snow. A [[pallid]] dog plays in a deep pile of snow.",0.04429781436920166,0.9978064894676208,1,0,1,16,"Successful"
"A young woman working in the snow. [[A]] [[man]] [[shoveling]] [[snow]] off the [[roof]] of a [[building]].","A young woman working in the snow. [[para]] [[gaillard]] [[shovelling]] [[blizzards]] off the [[rooftops]] of a [[enhancing]].",0.005074203014373779,0.9878487586975098,0,1,0,175,"Successful"
"A man working in the snow. A man shoveling [[snow]] off the roof of a building.","A man working in the snow. A man shoveling [[sleet]] off the roof of a building.",0.09277814626693726,0.9963186979293823,1,0,1,36,"Successful"
"They are at the bar. Two [[women]] are [[hugging]] on a [[path]] through a grassy area with a [[cow]] visible past them.","They are at the bar. Two [[girlie]] are [[embraced]] on a [[course]] through a grassy area with a [[coot]] visible past them.",0.028678476810455322,0.11278665065765381,0,0,0,208,"Failed"
"There are women outside in this picture. Two [[women]] are hugging on a path through a grassy area with a cow visible past them.","There are women outside in this picture. Two [[girls]] are hugging on a path through a grassy area with a cow visible past them.",0.04158008098602295,0.9053767919540405,1,0,1,51,"Successful"
