"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A woman is smoking a cigarette. A man in [[green]] [[pants]] and [[blue]] [[shirt]] [[pushing]] a [[cart]].","A woman is smoking a cigarette. A man in [[greens]] [[tracksuit]] and [[bleu]] [[hoodie]] [[push]] a [[boxcar]].",0.0389859676361084,0.053761184215545654,0,0,0,222,"Failed"
"There is a man wearing cloths. A man in [[green]] pants and blue shirt pushing a cart.","There is a man wearing cloths. A man in [[vert]] pants and blue shirt pushing a cart.",0.1409037709236145,0.8480939865112305,0,1,0,25,"Successful"
"Newlyweds sitting on a park bench. A beautiful bride [[walking]] on a sidewalk with her new husband.","Newlyweds sitting on a park bench. A beautiful bride [[parkway]] on a sidewalk with her new husband.",0.02084559202194214,0.8856793642044067,0,1,0,34,"Successful"
"A couple walks outdoors together. A beautiful bride walking on a sidewalk with her [[new]] husband.","A couple walks outdoors together. A beautiful bride walking on a sidewalk with her [[lately]] husband.",0.1356874704360962,0.8551375865936279,0,1,0,63,"Successful"
"A young man is grilling fish in his underwear. A young man, wearing a white shirt, [[prepares]] [[hotdogs]] on a small grill.","A young man is grilling fish in his underwear. A young man, wearing a white shirt, [[suspenders]] [[wieners]] on a small grill.",0.024172842502593994,0.8582197427749634,0,1,0,102,"Successful"
"A young man is grilling food. A young man, wearing a white shirt, prepares hotdogs on a small [[grill]].","A young man is grilling food. A young man, wearing a white shirt, prepares hotdogs on a small [[mesh]].",0.08651328086853027,0.8623185157775879,1,0,1,31,"Successful"
"A man playing banjo on the floor. A [[man]] [[playing]] an [[electric]] [[guitar]] on [[stage]].","A man playing banjo on the floor. A [[males]] [[gambling]] an [[electra]] [[banjo]] on [[step]].",0.014406979084014893,0.8761456608772278,0,1,0,181,"Successful"
"A man playing guitar on stage. A man playing an electric guitar on [[stage]].","A man playing guitar on stage. A man playing an electric guitar on [[stepping]].",0.08488476276397705,0.9175919890403748,1,0,1,36,"Successful"
"A giraffe is on a chair. a boy in a [[beige]] [[shirt]] is [[sleeping]] in a [[car]].","A giraffe is on a chair. a boy in a [[maroon]] [[tracksuit]] is [[bedtime]] in a [[carin]].",0.03249645233154297,0.04785287380218506,0,0,0,158,"Failed"
"A person is in a vehicle. a boy in a beige shirt is sleeping in a [[car]].","A person is in a vehicle. a boy in a beige shirt is sleeping in a [[driver]].",0.09565198421478271,0.8601351976394653,1,0,1,54,"Successful"
"Policemen stand outside of their firetruck with all its lights on. [[Firemen]] stand outside of their firetruck with all its lights on.","Policemen stand outside of their firetruck with all its lights on. [[Firefighting]] stand outside of their firetruck with all its lights on.",0.044086992740631104,0.8657538294792175,0,1,0,46,"Successful"
"People stand outside of their firetruck with all its lights on. [[Firemen]] stand outside of their firetruck with all its lights on.","People stand outside of their firetruck with all its lights on. [[Firehouse]] stand outside of their firetruck with all its lights on.",0.0757899284362793,0.8683993816375732,1,0,1,46,"Successful"
"The traffic was not to bad today the guy made it home early and took a nap. A [[man]] [[laying]] down in middle of [[street]] during [[heavy]] [[traffic]].","The traffic was not to bad today the guy made it home early and took a nap. A [[male]] [[brood]] down in middle of [[rue]] during [[prodigious]] [[vehicular]].",0.026859521865844727,0.09867066144943237,0,0,0,193,"Failed"
"A person has lost it by laying down in a busy street while there is bad traffic. A [[man]] laying down in middle of street during heavy [[traffic]].","A person has lost it by laying down in a busy street while there is bad traffic. A [[dawg]] laying down in middle of street during heavy [[chiao]].",0.08931684494018555,0.962973952293396,1,0,1,86,"Successful"
"The boy is at a boxing match. A [[girl]] [[playfully]] [[kicks]] a [[guy]] in the face while another person [[makes]] [[faces]].","The boy is at a boxing match. A [[babe]] [[brutally]] [[kickboxing]] a [[fella]] in the face while another person [[paid]] [[sides]].",0.03300619125366211,0.8540043830871582,0,1,0,304,"Successful"
"A girl is play fighting. A girl [[playfully]] [[kicks]] a guy in the [[face]] while another person makes faces.","A girl is play fighting. A girl [[clumsily]] [[whoop]] a guy in the [[braved]] while another person makes faces.",0.09528851509094238,0.9061520099639893,1,0,1,97,"Successful"
"A brown dog is running down the road chasing the mailman. A [[brown]] [[dog]] [[plays]] in a [[deep]] [[pile]] of [[snow]].","A brown dog is running down the road chasing the mailman. A [[blonds]] [[bichon]] [[game]] in a [[thorough]] [[piling]] of [[wintry]].",0.02125561237335205,0.060475289821624756,0,0,0,162,"Failed"
"A brown dog plays in snow. A brown dog plays in a deep pile of [[snow]].","A brown dog plays in snow. A brown dog plays in a deep pile of [[sleet]].",0.08334243297576904,0.8938919305801392,1,0,1,46,"Successful"
"A young woman working in the snow. [[A]] [[man]] shoveling [[snow]] off the [[roof]] of a [[building]].","A young woman working in the snow. [[para]] [[copulate]] shoveling [[snowbound]] off the [[terrace]] of a [[structure]].",0.01648080348968506,0.13670289516448975,0,0,0,178,"Failed"
"A man working in the snow. A man [[shoveling]] snow off the roof of a building.","A man working in the snow. A man [[devastate]] snow off the roof of a building.",0.09564542770385742,0.8838581442832947,1,0,1,36,"Successful"
"They are at the bar. Two [[women]] are [[hugging]] on a [[path]] through a [[grassy]] area with a [[cow]] visible past them.","They are at the bar. Two [[womens]] are [[smooching]] on a [[highway]] through a [[spliff]] area with a [[vaca]] visible past them.",0.05608338117599487,0.08149194717407227,0,0,0,206,"Failed"
"There are women outside in this picture. Two [[women]] are hugging on a path through a grassy area with a cow visible past them.","There are women outside in this picture. Two [[girls]] are hugging on a path through a grassy area with a cow visible past them.",0.09755134582519531,0.8466336727142334,1,0,1,51,"Successful"
"The man is swimming in a pool. A [[man]] [[performing]] [[auto]] [[repair]] in front of a [[building]].","The man is swimming in a pool. A [[boys]] [[conducts]] [[motorcar]] [[repairs]] in front of a [[build]].",0.031941890716552734,0.04557579755783081,0,0,0,200,"Failed"
"The man is fixing a car. A man performing auto [[repair]] in front of a building.","The man is fixing a car. A man performing auto [[relief]] in front of a building.",0.0911605954170227,0.9770909547805786,1,0,1,43,"Successful"
"the man is skiing. A [[man]] in aerodynamic gear riding a [[bicycle]] down a [[road]] around a [[sharp]] [[curve]].","the man is skiing. A [[masculine]] in aerodynamic gear riding a [[moto]] down a [[course]] around a [[pronounced]] [[curving]].",0.03394818305969238,0.06751757860183716,0,0,0,227,"Failed"
"the man is riding outside. A man in aerodynamic gear riding a bicycle down a road around a sharp [[curve]].","the man is riding outside. A man in aerodynamic gear riding a bicycle down a road around a sharp [[graph]].",0.09209281206130981,0.8837380409240723,1,0,1,35,"Successful"
"the man is going to the store. A [[man]] in [[aerodynamic]] gear riding a [[bicycle]] down a [[road]] around a [[sharp]] curve.","the man is going to the store. A [[male]] in [[wheeled]] gear riding a [[cycle]] down a [[roadway]] around a [[strong]] curve.",0.033168911933898926,0.043302059173583984,0,0,0,223,"Failed"
"A cat is running up a tree. The [[small]] [[dog]] is [[running]] across the [[lawn]].","A cat is running up a tree. The [[humble]] [[schnauzer]] is [[implementing]] across the [[mulch]].",0.029083430767059326,0.04117715358734131,0,0,0,130,"Failed"
"A mammal is running through the yard. The small dog is running across the [[lawn]].","A mammal is running through the yard. The small dog is running across the [[grassy]].",0.08419859409332275,0.9269118309020996,1,0,1,45,"Successful"
"The young boy went swimming. A young boy with a [[shaved]] head and [[dirty]] white [[collared]] [[shirt]] [[holds]] a [[chicken]] in his [[arm]].","The young boy went swimming. A young boy with a [[battered]] head and [[naughty]] white [[slacks]] [[hem]] [[holding]] a [[cock]] in his [[ami]].",0.03315377235412598,0.08281815052032471,0,0,0,298,"Failed"
"The pet is laying on the couch. [[A]] [[dog]] is [[running]] in the [[waves]] at the [[beach]].","The pet is laying on the couch. [[another]] [[rottweiler]] is [[run]] in the [[surges]] at the [[wan]].",0.02335536479949951,0.03702139854431152,0,0,0,126,"Failed"
"An animal is running outside. A dog is running in the waves at the [[beach]].","An animal is running outside. A dog is running in the waves at the [[swim]].",0.1298356056213379,0.8720508813858032,1,0,1,30,"Successful"
"Strangers are standing indoors. [[Family]] [[members]] standing [[outside]] a [[home]].","Strangers are standing indoors. [[Household]] [[coworkers]] standing [[besides]] a [[indoor]].",0.03163802623748779,0.8643696308135986,0,1,0,127,"Successful"
"A family is standing outside. Family members standing outside a [[home]].","A family is standing outside. Family members standing outside a [[roa]].",0.1016397476196289,0.9569200277328491,1,0,1,55,"Successful"
"The two men are fighting. A man and a child [[painting]] a [[post]].","The two men are fighting. A man and a child [[repaint]] a [[job]].",0.049003779888153076,0.05555450916290283,0,0,0,162,"Failed"
"The boy and his father making the post look better. A man and a child [[painting]] a post.","The boy and his father making the post look better. A man and a child [[canvases]] a post.",0.09742242097854614,0.9480524063110352,1,0,1,39,"Successful"
"The men are selling clothes in a sports store. Four [[men]] with [[baseball]] caps and [[logo]] t-shirts [[laughing]] together at a [[table]].","The men are selling clothes in a sports store. Four [[mens]] with [[softball]] caps and [[label]] t-shirts [[grinning]] together at a [[sut]].",0.042270779609680176,0.09526026248931885,0,0,0,173,"Failed"
"Males are socializing with each other while wearing casual clothes. Four [[men]] with baseball caps and logo t-shirts laughing together at a table.","Males are socializing with each other while wearing casual clothes. Four [[sexes]] with baseball caps and logo t-shirts laughing together at a table.",0.10250663757324219,0.8504528999328613,1,0,1,50,"Successful"
"A puppy is rolling on the ground. A [[big]] [[dog]] [[catches]] a [[ball]] on his [[nose]]","A puppy is rolling on the ground. A [[wide]] [[puppies]] [[traps]] a [[softball]] on his [[muzzle]]",0.026290714740753174,0.0401463508605957,0,0,0,149,"Failed"
"Two women compete in a tennis match. Two [[male]] soccer [[players]] on [[opposing]] [[teams]] are [[trying]] to [[get]] the [[soccer]] [[ball]].","Two women compete in a tennis match. Two [[masculine]] soccer [[actresses]] on [[conflicting]] [[squads]] are [[attempting]] to [[receive]] the [[foot]] [[bal]].",0.036432623863220215,0.06352072954177856,0,0,0,245,"Failed"
"Two soccer players go after the ball. Two male soccer players on opposing teams are trying to get the soccer [[ball]].","Two soccer players go after the ball. Two male soccer players on opposing teams are trying to get the soccer [[cotillion]].",0.09918051958084106,0.9587398171424866,1,0,1,37,"Successful"
"A group of women is drinking wine. Two men with [[black]] glasses are holding food, one appears to [[be]] eating.","A group of women is drinking wine. Two men with [[nigga]] glasses are holding food, one appears to [[pose]] eating.",0.0614393949508667,0.5,0,0,0,230,"Failed"
"There are two men with food. Two men with black glasses are holding food, one appears to [[be]] eating.","There are two men with food. Two men with black glasses are holding food, one appears to [[get]] eating.",0.15328288078308105,0.8492259979248047,0,1,0,44,"Successful"
"A woman is checking out the men. A [[boy]] watches a [[woman]] [[walking]] amidst [[many]] concrete [[boxes]].","A woman is checking out the men. A [[fellas]] watches a [[hoochie]] [[tramping]] amidst [[sizeable]] concrete [[slabs]].",0.025940120220184326,0.8601810932159424,0,1,0,191,"Successful"
"A boy is watching a woman. A boy [[watches]] a woman walking amidst many concrete boxes.","A boy is watching a woman. A boy [[timepiece]] a woman walking amidst many concrete boxes.",0.1401689052581787,0.9464314579963684,1,0,1,22,"Successful"
"The people are working at an office. Three [[people]] are [[dressed]] in [[costumes]] and [[playing]] [[musical]] [[instruments]].","The people are working at an office. Three [[personas]] are [[attired]] in [[costume]] and [[replicating]] [[electronica]] [[installations]].",0.021544337272644043,0.03520560264587402,0,0,0,171,"Failed"
"The people are in costume and playing music. Three people are [[dressed]] in costumes and playing musical [[instruments]].","The people are in costume and playing music. Three people are [[massacred]] in costumes and playing musical [[appliance]].",0.09046459197998047,0.877822995185852,1,0,1,55,"Successful"
"The Indians are building sand castles. The indian's are [[performing]] a [[sacred]] [[dance]].","The Indians are building sand castles. The indian's are [[performance]] a [[damned]] [[stripper]].",0.020489752292633057,0.022819995880126953,0,0,0,91,"Failed"
"The people are dancing. The indian's are performing a sacred [[dance]].","The people are dancing. The indian's are performing a sacred [[endgame]].",0.09168428182601929,0.9681718349456787,1,0,1,34,"Successful"
"A young woman drank a lot of soda. An [[elderly]] [[man]] is smiling while [[sitting]] in front of a [[row]] of [[soda]] [[cans]].","A young woman drank a lot of soda. An [[older]] [[male]] is smiling while [[sessions]] in front of a [[queue]] of [[lemonade]] [[cartons]].",0.03885751962661743,0.06157582998275757,0,0,0,211,"Failed"
"An old man smiles in front of soda cans. An elderly man is [[smiling]] while sitting in [[front]] of a row of soda cans.","An old man smiles in front of soda cans. An elderly man is [[scowling]] while sitting in [[forehead]] of a row of soda cans.",0.07646310329437256,0.9805240631103516,1,0,1,63,"Successful"
"There are people standing by benches in public. People [[sitting]] on benches in a public area.","There are people standing by benches in public. People [[assis]] on benches in a public area.",0.06732755899429321,0.8599989414215088,0,1,0,30,"Successful"
"There are people sitting on benches outdoors. People sitting on benches in a public [[area]].","There are people sitting on benches outdoors. People sitting on benches in a public [[zones]].",0.1156843900680542,0.8570224642753601,1,0,1,48,"Successful"
"There is a bald man. A bald man with a white shirt and watch eating [[food]] and drinking wine.","There is a bald man. A bald man with a white shirt and watch eating [[nourishment]] and drinking wine.",0.15574109554290771,0.8447326421737671,0,1,0,59,"Successful"
"a family of cats resting. [[The]] 3 [[dogs]] are [[cruising]] down the [[street]].","a family of cats resting. [[Both]] 3 [[cabot]] are [[cruiser]] down the [[st]].",0.015584468841552734,0.03665286302566528,0,0,0,85,"Failed"
"three dogs together. The 3 dogs are cruising down the [[street]].","three dogs together. The 3 dogs are cruising down the [[st]].",0.07033932209014893,0.9745032787322998,1,0,1,29,"Successful"
"A biker rides next to the ocean. A biker wearing [[glass]] and a [[backpack]] rides near a [[fountain]].","A biker rides next to the ocean. A biker wearing [[lens]] and a [[saddlebag]] rides near a [[steelhead]].",0.02277553081512451,0.8612699508666992,0,1,0,107,"Successful"
