"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A woman is smoking a cigarette. [[A]] [[man]] in [[green]] pants and blue shirt [[pushing]] a [[cart]].","A woman is smoking a cigarette. [[paras]] [[boyfriend]] in [[greens]] pants and blue shirt [[prompting]] a [[trolley]].",0.1035233736038208,0.1417841911315918,0,0,0,219,"Failed"
"There is a man wearing cloths. A [[man]] in [[green]] pants and [[blue]] [[shirt]] pushing a cart.","There is a man wearing cloths. A [[male]] in [[environmentalist]] pants and [[bleu]] [[tracksuit]] pushing a cart.",0.19782733917236328,0.7970713376998901,0,1,0,114,"Successful"
"Newlyweds sitting on a park bench. [[A]] [[beautiful]] [[bride]] walking on a [[sidewalk]] with her [[new]] husband.","Newlyweds sitting on a park bench. [[para]] [[super]] [[fiance]] walking on a [[walkway]] with her [[recent]] husband.",0.13311809301376343,0.16736137866973877,0,0,0,175,"Failed"
"A couple walks outdoors together. A [[beautiful]] [[bride]] [[walking]] on a [[sidewalk]] with her [[new]] husband.","A couple walks outdoors together. A [[extraordinary]] [[newlyweds]] [[hiking]] on a [[walkway]] with her [[ny]] husband.",0.15912741422653198,0.2016538381576538,0,0,0,179,"Failed"
"A young man is grilling fish in his underwear. [[A]] [[young]] [[man]], wearing a [[white]] [[shirt]], [[prepares]] [[hotdogs]] on a [[small]] [[grill]].","A young man is grilling fish in his underwear. [[paras]] [[teen]] [[male]], wearing a [[whooping]] [[undershirt]], [[suspenders]] [[frankfurters]] on a [[tiny]] [[cookout]].",0.12331438064575195,0.20610034465789795,0,0,0,254,"Failed"
"A young man is grilling food. A young man, wearing a white shirt, prepares [[hotdogs]] on a small grill.","A young man is grilling food. A young man, wearing a white shirt, prepares [[sauerkraut]] on a small grill.",0.14470452070236206,0.8362140655517578,1,0,1,61,"Successful"
"A man playing banjo on the floor. [[A]] [[man]] [[playing]] an electric [[guitar]] on [[stage]].","A man playing banjo on the floor. [[para]] [[masculine]] [[plays]] an electric [[banjo]] on [[period]].",0.1432550549507141,0.17482304573059082,0,0,0,181,"Failed"
"A man playing guitar on stage. A man playing an electric [[guitar]] on stage.","A man playing guitar on stage. A man playing an electric [[saxophones]] on stage.",0.1753392219543457,0.8572384119033813,1,0,1,62,"Successful"
"A giraffe is on a chair. a [[boy]] in a [[beige]] [[shirt]] is [[sleeping]] in a [[car]].","A giraffe is on a chair. a [[boys]] in a [[maroon]] [[shirts]] is [[mattress]] in a [[automobile]].",0.12176358699798584,0.14432251453399658,0,0,0,160,"Failed"
"A person is in a vehicle. a boy in a beige shirt is [[sleeping]] in a car.","A person is in a vehicle. a boy in a beige shirt is [[napping]] in a car.",0.1649830937385559,0.8345682621002197,0,1,0,27,"Successful"
"Policemen stand outside of their firetruck with all its lights on. Firemen stand outside of their firetruck with all its [[lights]] on.","Policemen stand outside of their firetruck with all its lights on. Firemen stand outside of their firetruck with all its [[illuminated]] on.",0.17097997665405273,0.8291078209877014,0,1,0,73,"Successful"
"People stand outside of their firetruck with all its lights on. Firemen stand [[outside]] of their firetruck with all its lights on.","People stand outside of their firetruck with all its lights on. Firemen stand [[beyond]] of their firetruck with all its lights on.",0.20181405544281006,0.8527081608772278,1,0,1,13,"Successful"
"The traffic was not to bad today the guy made it home early and took a nap. [[A]] [[man]] laying down in middle of [[street]] during [[heavy]] traffic.","The traffic was not to bad today the guy made it home early and took a nap. [[para]] [[grooms]] laying down in middle of [[road]] during [[burdensome]] traffic.",0.1738210916519165,0.2061346173286438,0,0,0,198,"Failed"
"A person has lost it by laying down in a busy street while there is bad traffic. A man [[laying]] down in middle of street during heavy traffic.","A person has lost it by laying down in a busy street while there is bad traffic. A man [[pelting]] down in middle of street during heavy traffic.",0.20598769187927246,0.7988996505737305,1,0,1,31,"Successful"
"The boy is at a boxing match. [[A]] [[girl]] [[playfully]] kicks a [[guy]] in the [[face]] while another person [[makes]] [[faces]].","The boy is at a boxing match. [[paras]] [[female]] [[sarcastically]] kicks a [[boyfriend]] in the [[faces]] while another person [[entails]] [[fight]].",0.09723484516143799,0.16578960418701172,0,0,0,302,"Failed"
"A girl is play fighting. A girl playfully kicks a guy in the [[face]] while another person makes faces.","A girl is play fighting. A girl playfully kicks a guy in the [[deal]] while another person makes faces.",0.1173546314239502,0.8415013551712036,1,0,1,53,"Successful"
"A brown dog is running down the road chasing the mailman. [[A]] brown [[dog]] [[plays]] in a deep [[pile]] of [[snow]].","A brown dog is running down the road chasing the mailman. [[para]] brown [[wolfhound]] [[serving]] in a deep [[battery]] of [[frozen]].",0.1213536262512207,0.18471837043762207,0,0,0,160,"Failed"
"A brown dog plays in snow. [[A]] brown dog plays in a deep pile of snow.","A brown dog plays in snow. [[another]] brown dog plays in a deep pile of snow.",0.17135775089263916,0.821092963218689,0,1,0,14,"Successful"
"A young woman working in the snow. A [[man]] shoveling snow off the roof of a building.","A young woman working in the snow. A [[humans]] shoveling snow off the roof of a building.",0.19761133193969727,0.8010825514793396,0,1,0,60,"Successful"
"A man working in the snow. A man [[shoveling]] snow off the roof of a building.","A man working in the snow. A man [[raking]] snow off the roof of a building.",0.1986607313156128,0.7954957485198975,1,0,1,36,"Successful"
"They are at the bar. Two [[women]] are hugging on a [[path]] through a [[grassy]] area with a [[cow]] [[visible]] past them.","They are at the bar. Two [[womans]] are hugging on a [[ways]] through a [[pasture]] area with a [[demented]] [[identifiable]] past them.",0.13742172718048096,0.16340482234954834,0,0,0,206,"Failed"
"There are women outside in this picture. Two women are [[hugging]] on a path through a [[grassy]] area with a [[cow]] visible past them.","There are women outside in this picture. Two women are [[smooching]] on a path through a [[pasture]] area with a [[cattle]] visible past them.",0.1688692569732666,0.8348747491836548,0,1,0,83,"Successful"
"The man is swimming in a pool. [[A]] [[man]] [[performing]] auto [[repair]] in front of a [[building]].","The man is swimming in a pool. [[para]] [[boyfriend]] [[deliver]] auto [[corrected]] in front of a [[capitalize]].",0.121823251247406,0.16974717378616333,0,0,0,200,"Failed"
"The man is fixing a car. A man [[performing]] auto repair in front of a building.","The man is fixing a car. A man [[performance]] auto repair in front of a building.",0.16310513019561768,0.8557243347167969,1,0,1,36,"Successful"
"the man is skiing. A man in [[aerodynamic]] [[gear]] riding a [[bicycle]] down a [[road]] around a [[sharp]] curve.","the man is skiing. A man in [[wheel]] [[accelerating]] riding a [[motorcycle]] down a [[roadway]] around a [[sudden]] curve.",0.1211121678352356,0.15985500812530518,0,0,0,229,"Failed"
"the man is riding outside. A man in aerodynamic gear riding a bicycle down a road around a sharp [[curve]].","the man is riding outside. A man in aerodynamic gear riding a bicycle down a road around a sharp [[curving]].",0.1654595136642456,0.8265680074691772,0,1,0,35,"Successful"
"the man is going to the store. A man in [[aerodynamic]] [[gear]] riding a [[bicycle]] down a [[road]] around a [[sharp]] [[curve]].","the man is going to the store. A man in [[wheeled]] [[speed]] riding a [[moped]] down a [[superhighway]] around a [[sudden]] [[rectangular]].",0.11546707153320312,0.1597524881362915,0,0,0,227,"Failed"
"A cat is running up a tree. The [[small]] [[dog]] is running across the [[lawn]].","A cat is running up a tree. The [[unassuming]] [[akita]] is running across the [[mowed]].",0.11689627170562744,0.1407029628753662,0,0,0,133,"Failed"
"A mammal is running through the yard. The small dog is running across the [[lawn]].","A mammal is running through the yard. The small dog is running across the [[yard]].",0.17183494567871094,0.8258690237998962,0,1,0,70,"Successful"
