"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A woman is smoking a cigarette. [[A]] man in green [[pants]] and blue [[shirt]] [[pushing]] a [[cart]].","A woman is smoking a cigarette. [[paras]] man in green [[waistcoat]] and blue [[hem]] [[thrust]] a [[carro]].",0.08107650279998779,0.3862343430519104,0,0,0,221,"Failed"
"There is a man wearing cloths. A man in green pants and blue shirt pushing a [[cart]].","There is a man wearing cloths. A man in green pants and blue shirt pushing a [[caddie]].",0.09434354305267334,0.8010311126708984,1,0,1,48,"Successful"
"Newlyweds sitting on a park bench. [[A]] beautiful [[bride]] [[walking]] on a [[sidewalk]] with her [[new]] husband.","Newlyweds sitting on a park bench. [[para]] beautiful [[newlyweds]] [[footing]] on a [[parkway]] with her [[latest]] husband.",0.08269000053405762,0.7948795557022095,0,1,0,115,"Successful"
"A couple walks outdoors together. A [[beautiful]] [[bride]] [[walking]] on a sidewalk with her [[new]] [[husband]].","A couple walks outdoors together. A [[marvelous]] [[nuptials]] [[hikes]] on a sidewalk with her [[newer]] [[dude]].",0.09608590602874756,0.23680150508880615,0,0,0,177,"Failed"
"A young man is grilling fish in his underwear. A young man, [[wearing]] a white [[shirt]], prepares [[hotdogs]] on a [[small]] grill.","A young man is grilling fish in his underwear. A young man, [[stargate]] a white [[hem]], prepares [[popsicles]] on a [[unassuming]] grill.",0.1378624439239502,0.5,0,0,0,252,"Failed"
"A young man is grilling food. A young [[man]], wearing a white shirt, prepares hotdogs on a small grill.","A young man is grilling food. A young [[fella]], wearing a white shirt, prepares hotdogs on a small grill.",0.1425391435623169,0.7951232194900513,0,1,0,65,"Successful"
"A man playing banjo on the floor. A [[man]] [[playing]] an [[electric]] [[guitar]] on [[stage]].","A man playing banjo on the floor. A [[grooms]] [[wagers]] an [[elektra]] [[vocals]] on [[epoch]].",0.03153109550476074,0.2221086025238037,0,0,0,181,"Failed"
"A man playing guitar on stage. A [[man]] playing an [[electric]] guitar on stage.","A man playing guitar on stage. A [[hombres]] playing an [[electrical]] guitar on stage.",0.11818522214889526,0.8264029026031494,0,1,0,65,"Successful"
"A giraffe is on a chair. a [[boy]] in a beige [[shirt]] is [[sleeping]] in a car.","A giraffe is on a chair. a [[petit]] in a beige [[blouse]] is [[futon]] in a car.",0.14114153385162354,0.3934270143508911,0,0,0,160,"Failed"
"A person is in a vehicle. a boy in a beige shirt is sleeping in a [[car]].","A person is in a vehicle. a boy in a beige shirt is sleeping in a [[vehicular]].",0.2037487030029297,0.9147461652755737,1,0,1,54,"Successful"
"Policemen stand outside of their firetruck with all its lights on. [[Firemen]] stand outside of their firetruck with all its lights on.","Policemen stand outside of their firetruck with all its lights on. [[Firehouse]] stand outside of their firetruck with all its lights on.",0.014627933502197266,0.9293990731239319,0,1,0,46,"Successful"
